Device Name;Region;Type;Famille;Produit;Edition;Version
Device 324;EMEA;Desktop;Office;Visio;Premium;2010
Device 324;EMEA;Desktop;Office;Project;Standard;2010
Device 324;EMEA;Desktop;Office;Office;Standard;2010
Device 325;EMEA;Desktop;Office;Office;Standard;2010
Device 325;EMEA;Desktop;Office;Office Language;;2010
Device 326;EMEA;Desktop;Office;Visio;Premium;2010
Device 327;EMEA;Desktop;Office;Visio;Premium;2010
Device 327;EMEA;Desktop;Office;Office;Small Business;2007
Device 328;EMEA;Desktop;Office;Office;Small Business;2007
Device 329;EMEA;Desktop;Visual;Visual Studio;Professional;2010
Device 330;EMEA;Desktop;Office;Office;Professional Plus;2010
Device 331;EMEA;Desktop;Office;Office;Standard;2013
Device 332;EMEA;Desktop;Office;Office;Standard;2013
Device 332;EMEA;Desktop;Office;Project;Standard;2013
Device 333;EMEA;Desktop;Office;Office;Standard;2013
Device 333;EMEA;Desktop;Office;Visio;Standard;2013
Device 334;EMEA;Desktop;Office;Office;Standard;2013
Device 335;EMEA;Desktop;Office;Office;Standard;2013
Device 336;EMEA;Desktop;Office;Office;Standard;2013
Device 337;EMEA;Desktop;Office;Office;Standard;2013
Device 338;EMEA;Desktop;Office;Office;Standard;2013
Device 339;EMEA;Desktop;Office;Office;Standard;2013
Device 340;EMEA;Desktop;Office;Office;Standard;2013
Device 341;EMEA;Desktop;Office;Office;Standard;2013
Device 342;EMEA;Desktop;Office;Office;Standard;2013
Device 343;EMEA;Desktop;Office;Office;Standard;2013
Device 344;EMEA;Desktop;Office;Office;Standard;2013
Device 345;EMEA;Desktop;Office;Office;Standard;2013
Device 346;EMEA;Desktop;Office;Office;Standard;2013
Device 347;EMEA;Desktop;Office;Office;Standard;2013
Device 348;EMEA;Desktop;Office;Office;Standard;2013
Device 349;EMEA;Desktop;Office;Office;Standard;2013
Device 350;EMEA;Desktop;Office;Office;Standard;2013
Device 351;EMEA;Desktop;Office;Office;Standard;2013
Device 352;EMEA;Desktop;Office;Office;Standard;2013
Device 353;EMEA;Desktop;Office;Office;Standard;2013
Device 354;EMEA;Desktop;Office;Office;Standard;2013
Device 355;EMEA;Desktop;Office;Office;Standard;2013
Device 355;EMEA;Desktop;Office;Project;Standard;2013
Device 356;EMEA;Desktop;Office;Office;Standard;2013
Device 357;EMEA;Desktop;Office;Office;Standard;2013
Device 358;EMEA;Desktop;Office;Office;Standard;2013
Device 359;EMEA;Desktop;Office;Office;Standard;2013
Device 360;EMEA;Desktop;Office;Office;Standard;2013
Device 361;EMEA;Desktop;Office;Office;Standard;2013
Device 362;EMEA;Desktop;Office;Office;Standard;2013
Device 363;EMEA;Desktop;Office;Office;Standard;2013
Device 364;EMEA;Desktop;Office;Office;Standard;2013
Device 365;EMEA;Desktop;Office;Office;Standard;2013
Device 366;EMEA;Desktop;Office;Office;Standard;2013
Device 367;EMEA;Desktop;Office;Office;Standard;2013
Device 368;EMEA;Desktop;Office;Office;Standard;2013
Device 369;EMEA;Desktop;Office;Office;Standard;2013
Device 370;EMEA;Desktop;Office;Office;Standard;2013
Device 371;EMEA;Desktop;Office;Office;Standard;2013
Device 372;EMEA;Desktop;Visual;Visual Studio;Community;2015
Device 372;EMEA;Desktop;Office;Office;Standard;2013
Device 372;EMEA;Desktop;Office;Project;Standard;2013
Device 373;EMEA;Desktop;Office;Office;Standard;2013
Device 374;EMEA;Desktop;Office;Office;Standard;2013
Device 375;EMEA;Desktop;Office;Office;Standard;2013
Device 376;EMEA;Type inconnu;Office;Office;Standard;2013
Device 377;EMEA;Desktop;Office;Office;Standard;2013
Device 378;EMEA;Desktop;Office;Office;Standard;2013
Device 378;EMEA;Desktop;Office;Project;Standard;2013
Device 379;EMEA;Desktop;Office;Office;Standard;2013
Device 380;EMEA;Desktop;Office;Office;Standard;2013
Device 381;EMEA;Desktop;Office;Office;Standard;2013
Device 382;EMEA;Desktop;Office;Office;Standard;2013
